Auction,VehicleAge,Make,Transmission,WheelType,VehOdo,Nationality,Size,TopThreeAmericanName,MMRAcquisitionAuctionCleanPrice,MMRAcquisitionRetailAveragePrice,IsBadBuy
ADESA,5,KIA,MANUAL,Covers,55712,ASIAN,SMALL,OTHER,2901,5290,0
MANHEIM,5,BUICK,AUTO,Covers,66574,AMERICAN,MEDIUM,GM,6078,5454,0
MANHEIM,4,HYUNDAI,AUTO,Alloy,84488,ASIAN,MEDIUM,OTHER,7481,9465,0
MANHEIM,3,HYUNDAI,AUTO,Covers,81852,ASIAN,MEDIUM,OTHER,7762,9915,0
MANHEIM,7,CHEVROLET,AUTO,Alloy,76576,AMERICAN,MEDIUM,GM,5849,5700,0
MANHEIM,3,CHEVROLET,AUTO,Covers,55223,AMERICAN,LARGE,GM,9176,11434,0
MANHEIM,5,CHRYSLER,AUTO,Alloy,77614,AMERICAN,MEDIUM,CHRYSLER,5643,5630,0
MANHEIM,6,MITSUBISHI,AUTO,Covers,62052,ASIAN,MEDIUM,OTHER,3698,3407,0
MANHEIM,4,DODGE,AUTO,Covers,46192,AMERICAN,SPECIAL,CHRYSLER,5867,5348,0
ADESA,4,NISSAN,AUTO,Covers,81352,ASIAN,MEDIUM,OTHER,7603,6930,0
MANHEIM,3,CHEVROLET,AUTO,Alloy,68878,AMERICAN,MEDIUM,GM,8966,11530,0
OTHER,3,FORD,AUTO,Alloy,74670,AMERICAN,MEDIUM,FORD,5919,8802,0
MANHEIM,4,MERCURY,AUTO,NULL,71090,AMERICAN,LARGE,FORD,10199,9726,0
ADESA,3,CHEVROLET,AUTO,Alloy,68927,AMERICAN,MEDIUM,GM,10726,10114,0
OTHER,4,CHEVROLET,AUTO,Alloy,65776,AMERICAN,LARGE,GM,8241,10275,0
MANHEIM,4,CHRYSLER,AUTO,Covers,77721,AMERICAN,MEDIUM,CHRYSLER,7460,10250,0
MANHEIM,7,CHEVROLET,AUTO,Covers,82757,AMERICAN,LARGE,GM,4769,6095,0
MANHEIM,5,CHEVROLET,AUTO,Alloy,50578,AMERICAN,MEDIUM,GM,7272,7193,0
ADESA,5,DODGE,AUTO,Alloy,79735,AMERICAN,MEDIUM,CHRYSLER,11890,14160,0
OTHER,1,CHRYSLER,AUTO,Covers,37298,AMERICAN,MEDIUM,CHRYSLER,7809,11392,0
MANHEIM,3,FORD,AUTO,Alloy,88295,AMERICAN,LARGE,FORD,19526,20358,0
MANHEIM,4,PONTIAC,AUTO,Alloy,65879,AMERICAN,LARGE,GM,8418,10350,0
MANHEIM,2,FORD,AUTO,Alloy,76390,AMERICAN,LARGE,FORD,12352,10823,0
OTHER,4,FORD,AUTO,Alloy,50219,AMERICAN,SMALL,FORD,5915,8427,0
MANHEIM,6,MAZDA,AUTO,Alloy,57320,ASIAN,MEDIUM,OTHER,5951,7769,1
MANHEIM,7,PONTIAC,AUTO,Alloy,80676,AMERICAN,LARGE,GM,4010,3647,0
MANHEIM,3,MITSUBISHI,AUTO,Alloy,66798,ASIAN,SPECIAL,OTHER,9462,9230,0
ADESA,2,CHEVROLET,AUTO,Covers,85386,AMERICAN,LARGE,GM,10033,12652,0
MANHEIM,5,CHRYSLER,AUTO,Alloy,72494,AMERICAN,MEDIUM,CHRYSLER,3565,5793,0
OTHER,3,DODGE,AUTO,Alloy,85144,AMERICAN,MEDIUM,CHRYSLER,6464,5910,1
MANHEIM,5,KIA,AUTO,Covers,73891,ASIAN,MEDIUM,OTHER,3939,3576,0
OTHER,3,HYUNDAI,AUTO,Covers,45324,ASIAN,MEDIUM,OTHER,6747,6762,0
OTHER,4,KIA,AUTO,Alloy,41777,ASIAN,MEDIUM,OTHER,4509,4097,0
MANHEIM,4,DODGE,AUTO,Alloy,86608,AMERICAN,MEDIUM,CHRYSLER,11369,13924,1
MANHEIM,2,MAZDA,MANUAL,Alloy,66088,ASIAN,SMALL,OTHER,13016,14968,0
MANHEIM,3,CHEVROLET,AUTO,Covers,79754,AMERICAN,SPECIAL,GM,11160,10037,0
MANHEIM,2,KIA,MANUAL,Alloy,37591,ASIAN,MEDIUM,OTHER,7178,9628,0
OTHER,4,CHEVROLET,AUTO,Covers,90702,AMERICAN,MEDIUM,GM,8346,10553,0
ADESA,4,PONTIAC,AUTO,Alloy,54552,AMERICAN,MEDIUM,GM,6371,8501,0
MANHEIM,2,CHEVROLET,AUTO,Covers,75142,AMERICAN,LARGE,GM,8793,11869,0
OTHER,4,DODGE,AUTO,Covers,55474,AMERICAN,MEDIUM,CHRYSLER,7026,9399,0
ADESA,3,CHEVROLET,AUTO,Covers,76156,AMERICAN,LARGE,GM,8916,11369,0
OTHER,2,DODGE,AUTO,Covers,84510,AMERICAN,SPECIAL,CHRYSLER,10762,10603,0
MANHEIM,4,DODGE,AUTO,Alloy,67330,AMERICAN,MEDIUM,CHRYSLER,5359,7734,0
MANHEIM,3,SUZUKI,AUTO,Covers,55858,ASIAN,MEDIUM,OTHER,5785,8319,0
MANHEIM,3,CHEVROLET,AUTO,Covers,68547,AMERICAN,LARGE,GM,8151,7845,0
OTHER,1,CHEVROLET,AUTO,Covers,69893,AMERICAN,LARGE,GM,9313,11855,0
MANHEIM,4,CHEVROLET,AUTO,Alloy,73681,AMERICAN,MEDIUM,GM,9334,9005,0
MANHEIM,4,KIA,AUTO,Alloy,45185,ASIAN,MEDIUM,OTHER,6016,8473,0
ADESA,4,SUZUKI,AUTO,Alloy,41848,ASIAN,MEDIUM,OTHER,4585,4086,0
MANHEIM,4,FORD,AUTO,Alloy,70761,AMERICAN,LARGE,FORD,8398,8227,0
MANHEIM,5,GMC,AUTO,Alloy,96652,AMERICAN,MEDIUM,GM,11374,12536,1
MANHEIM,4,CHEVROLET,AUTO,Alloy,82149,AMERICAN,MEDIUM,GM,11331,14050,0
ADESA,4,KIA,AUTO,Covers,36425,ASIAN,MEDIUM,OTHER,6174,7981,0
MANHEIM,4,FORD,AUTO,Covers,78908,AMERICAN,SPECIAL,FORD,7584,9272,0
MANHEIM,5,CHEVROLET,AUTO,Alloy,80873,AMERICAN,LARGE,GM,10386,14019,0
ADESA,5,CHEVROLET,AUTO,Covers,88485,AMERICAN,LARGE,GM,5328,7590,0
MANHEIM,6,CHEVROLET,AUTO,Alloy,85433,AMERICAN,LARGE,GM,7189,6998,0
ADESA,9,CHEVROLET,AUTO,Covers,65329,AMERICAN,LARGE,GM,3431,5143,0
MANHEIM,3,SUZUKI,AUTO,Covers,36927,ASIAN,MEDIUM,OTHER,6343,8555,1
MANHEIM,5,CHRYSLER,AUTO,Alloy,69487,AMERICAN,MEDIUM,CHRYSLER,5393,7652,0
ADESA,2,MAZDA,AUTO,Alloy,81777,ASIAN,MEDIUM,OTHER,12219,14258,0
MANHEIM,2,FORD,AUTO,Alloy,72312,AMERICAN,LARGE,FORD,10909,10197,0
MANHEIM,7,CHEVROLET,AUTO,Alloy,62188,AMERICAN,MEDIUM,GM,7404,9571,0
MANHEIM,5,NISSAN,MANUAL,Alloy,73051,ASIAN,MEDIUM,OTHER,6536,6520,0
ADESA,3,CHEVROLET,AUTO,Covers,79985,AMERICAN,SMALL,GM,5899,5695,0
OTHER,8,SATURN,AUTO,Alloy,89600,AMERICAN,MEDIUM,GM,3532,3241,1
MANHEIM,6,DODGE,AUTO,Covers,75008,AMERICAN,MEDIUM,CHRYSLER,3180,5534,0
MANHEIM,2,CHRYSLER,AUTO,Covers,64533,AMERICAN,SPECIAL,CHRYSLER,11007,9481,0
MANHEIM,3,SUZUKI,AUTO,Covers,46973,ASIAN,MEDIUM,OTHER,5016,5078,0
MANHEIM,5,CHRYSLER,AUTO,Covers,92364,AMERICAN,MEDIUM,CHRYSLER,4366,4082,0
MANHEIM,6,CHEVROLET,AUTO,Alloy,94198,AMERICAN,MEDIUM,GM,7326,9763,0
ADESA,5,MITSUBISHI,AUTO,Covers,58019,ASIAN,SMALL,OTHER,4444,7317,0
OTHER,6,SATURN,AUTO,Covers,81408,AMERICAN,MEDIUM,GM,5125,7098,0
OTHER,6,CHEVROLET,AUTO,Alloy,70115,AMERICAN,LARGE,GM,10612,9776,1
MANHEIM,4,SCION,AUTO,Covers,86801,ASIAN,MEDIUM,OTHER,8971,10835,0
MANHEIM,4,CHRYSLER,AUTO,Alloy,87919,AMERICAN,MEDIUM,CHRYSLER,5319,8002,0
ADESA,4,HYUNDAI,AUTO,Alloy,78107,ASIAN,SPECIAL,OTHER,7145,9786,0
OTHER,2,DODGE,AUTO,Covers,52406,AMERICAN,MEDIUM,CHRYSLER,8201,11180,0
MANHEIM,3,CHEVROLET,AUTO,Alloy,63848,AMERICAN,LARGE,GM,8979,11760,0
MANHEIM,2,CHEVROLET,AUTO,Covers,42127,AMERICAN,SMALL,GM,7547,7653,0
MANHEIM,2,CHEVROLET,AUTO,Covers,71215,AMERICAN,SPECIAL,GM,9742,12400,0
OTHER,1,CHRYSLER,AUTO,Covers,47716,AMERICAN,MEDIUM,CHRYSLER,7665,8250,0
OTHER,1,DODGE,AUTO,Covers,44285,AMERICAN,MEDIUM,CHRYSLER,9291,9684,1
MANHEIM,8,MAZDA,AUTO,Covers,78929,ASIAN,SPECIAL,OTHER,3433,3340,0
MANHEIM,3,CHEVROLET,AUTO,Alloy,59884,AMERICAN,SPECIAL,GM,10221,9098,0
ADESA,6,MITSUBISHI,AUTO,Alloy,74129,ASIAN,SPECIAL,OTHER,6306,8921,0
MANHEIM,6,DODGE,AUTO,Alloy,61259,AMERICAN,MEDIUM,CHRYSLER,3364,5435,0
MANHEIM,7,FORD,AUTO,Alloy,75794,AMERICAN,LARGE,FORD,8935,11563,0
OTHER,4,CHRYSLER,AUTO,Alloy,64675,AMERICAN,MEDIUM,CHRYSLER,5195,5082,0
MANHEIM,5,NISSAN,AUTO,Covers,66870,ASIAN,SMALL,OTHER,4889,7534,1
ADESA,6,FORD,AUTO,Covers,72725,AMERICAN,LARGE,FORD,5830,8457,0
MANHEIM,2,CHEVROLET,AUTO,Covers,79716,AMERICAN,LARGE,GM,8892,8756,1
OTHER,4,PONTIAC,AUTO,Covers,52306,AMERICAN,LARGE,GM,7145,6511,0
ADESA,6,KIA,AUTO,Alloy,80111,ASIAN,MEDIUM,OTHER,7224,9502,1
ADESA,7,HYUNDAI,AUTO,Covers,80896,ASIAN,MEDIUM,OTHER,3313,5037,0
ADESA,8,CHRYSLER,AUTO,NULL,78000,AMERICAN,MEDIUM,CHRYSLER,4002,5576,1
MANHEIM,3,DODGE,AUTO,Alloy,92472,AMERICAN,SMALL,CHRYSLER,12179,10717,0
MANHEIM,1,CHRYSLER,AUTO,Covers,56012,AMERICAN,MEDIUM,CHRYSLER,7812,8415,0
ADESA,4,SATURN,AUTO,Alloy,74986,AMERICAN,MEDIUM,GM,7846,7102,0
MANHEIM,4,DODGE,AUTO,Alloy,41803,AMERICAN,SPECIAL,CHRYSLER,6726,6777,0
MANHEIM,2,FORD,AUTO,Alloy,82526,AMERICAN,LARGE,FORD,11318,10673,0
OTHER,2,DODGE,AUTO,NULL,50741,AMERICAN,MEDIUM,CHRYSLER,8452,11852,1
ADESA,5,DODGE,AUTO,Alloy,77741,AMERICAN,SMALL,CHRYSLER,4244,5816,0
MANHEIM,2,CHEVROLET,AUTO,Covers,82962,AMERICAN,SPECIAL,GM,7048,7282,0
MANHEIM,6,FORD,AUTO,NULL,81894,AMERICAN,MEDIUM,FORD,3651,3434,1
OTHER,4,DODGE,AUTO,Alloy,80358,AMERICAN,SPECIAL,CHRYSLER,6616,6039,0
MANHEIM,3,CHEVROLET,AUTO,Covers,73310,AMERICAN,LARGE,GM,8934,11688,0
MANHEIM,6,FORD,AUTO,Covers,80302,AMERICAN,SPECIAL,FORD,3724,3377,0
ADESA,1,CHEVROLET,AUTO,Alloy,75636,AMERICAN,LARGE,GM,10903,10914,1
OTHER,4,CHEVROLET,AUTO,Covers,54623,AMERICAN,MEDIUM,GM,7225,10532,0
OTHER,5,SATURN,AUTO,Covers,72375,AMERICAN,MEDIUM,GM,4960,7066,0
OTHER,2,DODGE,AUTO,Alloy,48104,AMERICAN,MEDIUM,CHRYSLER,8469,11882,0
MANHEIM,4,CHEVROLET,AUTO,Covers,83327,AMERICAN,LARGE,GM,8716,10481,0
ADESA,5,PONTIAC,AUTO,Covers,89917,AMERICAN,LARGE,GM,6261,8560,0
OTHER,3,FORD,AUTO,Alloy,73886,AMERICAN,LARGE,FORD,9089,11602,0
MANHEIM,3,CHRYSLER,AUTO,Covers,85476,AMERICAN,MEDIUM,CHRYSLER,8044,10689,0
ADESA,4,DODGE,AUTO,Alloy,83517,AMERICAN,MEDIUM,CHRYSLER,5361,7383,0
OTHER,6,FORD,AUTO,Alloy,79600,AMERICAN,MEDIUM,FORD,6017,8583,1
OTHER,5,CHRYSLER,AUTO,Alloy,87819,AMERICAN,MEDIUM,CHRYSLER,5500,8258,0
MANHEIM,2,CHRYSLER,AUTO,Covers,73436,AMERICAN,SPECIAL,CHRYSLER,9033,9058,0
MANHEIM,4,CHEVROLET,AUTO,Covers,75211,AMERICAN,MEDIUM,GM,7159,6847,0
MANHEIM,1,CHRYSLER,AUTO,Covers,49707,AMERICAN,MEDIUM,CHRYSLER,8448,9085,0
OTHER,8,HYUNDAI,AUTO,Covers,52857,ASIAN,MEDIUM,OTHER,2613,4126,0
ADESA,5,NISSAN,AUTO,Alloy,47262,ASIAN,MEDIUM,OTHER,8574,10632,0
ADESA,3,SUZUKI,AUTO,Covers,35796,ASIAN,MEDIUM,OTHER,5870,8484,0
MANHEIM,5,JEEP,AUTO,Alloy,73794,AMERICAN,MEDIUM,CHRYSLER,9952,11849,1
OTHER,4,NISSAN,AUTO,Covers,76096,ASIAN,SMALL,OTHER,6519,8785,0
ADESA,4,NISSAN,AUTO,Covers,86083,ASIAN,SMALL,OTHER,6247,8820,0
OTHER,3,FORD,AUTO,Covers,91914,AMERICAN,MEDIUM,FORD,5305,4998,0
OTHER,3,SATURN,AUTO,NULL,69943,AMERICAN,MEDIUM,GM,10878,13381,1
MANHEIM,3,CHEVROLET,AUTO,Covers,53895,AMERICAN,MEDIUM,GM,8002,10548,0
OTHER,1,DODGE,AUTO,Covers,39621,AMERICAN,MEDIUM,CHRYSLER,9416,13082,0
MANHEIM,3,FORD,AUTO,Alloy,64663,AMERICAN,MEDIUM,FORD,11265,13433,0
MANHEIM,7,FORD,AUTO,Alloy,65567,AMERICAN,SPECIAL,FORD,5108,4928,1
OTHER,6,CHRYSLER,AUTO,Alloy,89283,AMERICAN,SPECIAL,CHRYSLER,5220,5384,0
ADESA,5,PONTIAC,AUTO,NULL,89800,AMERICAN,MEDIUM,GM,5013,4492,1
MANHEIM,6,CHEVROLET,AUTO,Alloy,84830,AMERICAN,LARGE,GM,10453,12679,0
ADESA,4,NISSAN,AUTO,Covers,80100,ASIAN,MEDIUM,OTHER,7840,7461,0
MANHEIM,5,DODGE,AUTO,Alloy,85242,AMERICAN,LARGE,CHRYSLER,8112,9709,0
MANHEIM,7,DODGE,AUTO,Alloy,83380,AMERICAN,MEDIUM,CHRYSLER,4417,4148,0
MANHEIM,4,HYUNDAI,AUTO,Alloy,60630,ASIAN,MEDIUM,OTHER,8079,10096,1
OTHER,5,DODGE,AUTO,Alloy,68447,AMERICAN,SPECIAL,CHRYSLER,8991,11409,0
OTHER,2,SATURN,AUTO,Alloy,86827,AMERICAN,MEDIUM,GM,12983,15448,0
MANHEIM,4,PONTIAC,AUTO,Alloy,81421,AMERICAN,MEDIUM,GM,9477,11376,0
MANHEIM,6,KIA,AUTO,Alloy,57830,ASIAN,MEDIUM,OTHER,4458,6181,0
MANHEIM,3,CHRYSLER,AUTO,Covers,81175,AMERICAN,MEDIUM,CHRYSLER,7114,9158,0
