@relation 'train_dataset_4_unbalanced_normalized-weka.filters.unsupervised.attribute.NumericToNominal-R1,3,4,5,7,8,9,18,20,22-weka.filters.supervised.instance.SpreadSubsample-M1.0-X0.0-S1'

@attribute Auction {MANHEIM,OTHER,ADESA}
@attribute VehicleAge numeric
@attribute Make {CHEVROLET,KIA,DODGE,FORD,SUZUKI,HONDA,CHRYSLER,NISSAN,MAZDA,SATURN,PONTIAC,MITSUBISHI,JEEP,TOYOTA,HYUNDAI,BUICK,GMC,MERCURY,SCION,ISUZU,OLDSMOBILE,VOLKSWAGEN,ACURA,INFINITI,VOLVO,MINI,SUBARU,LINCOLN,LEXUS,CADILLAC,PLYMOUTH}
@attribute Transmission {AUTO,MANUAL,NULL,Manual}
@attribute WheelType {Covers,Alloy,Special,NULL}
@attribute VehOdo numeric
@attribute Nationality {AMERICAN,ASIAN,OTHER,NULL}
@attribute Size {MEDIUM,SPECIAL,SMALL,LARGE,NULL}
@attribute TopThreeAmericanName {GM,OTHER,CHRYSLER,FORD,NULL}
@attribute MMRAcquisitionAuctionAveragePrice numeric
@attribute MMRAcquisitionAuctionCleanPrice numeric
@attribute MMRAcquisitionRetailAveragePrice numeric
@attribute MMRAcquisitonRetailCleanPrice numeric
@attribute MMRCurrentAuctionAveragePrice numeric
@attribute MMRCurrentAuctionCleanPrice numeric
@attribute MMRCurrentRetailAveragePrice numeric
@attribute MMRCurrentRetailCleanPrice numeric
@attribute VNST {VA,FL,TX,NC,IL,CA,AZ,CO,OK,PA,NJ,TN,IN,SC,MO,OR,GA,IA,KY,UT,MD,AL,WV,OH,AR,LA,NM,NH,MA,WA,NV,MS,MN,NE,ID,MI,NY}
@attribute VehBCost numeric
@attribute IsOnlineSale {0,1}
@attribute WarrantyCost numeric
@attribute IsBadBuy {0,1}

@data
ADESA,0.333333,DODGE,AUTO,Alloy,0.479944,AMERICAN,MEDIUM,CHRYSLER,0.11209,0.132465,0.11208,0.128553,0.128504,0.147999,0.128493,0.145198,GA,0.1188,0,0.065094,0
MANHEIM,0.555556,CHEVROLET,AUTO,Alloy,0.714244,AMERICAN,MEDIUM,GM,0.131293,0.154096,0.184585,0.201457,0.130569,0.160484,0.199104,0.223394,TX,0.154164,0,0.129477,0
MANHEIM,0.111111,MERCURY,AUTO,Alloy,0.523086,AMERICAN,SMALL,FORD,0.384781,0.421569,0.384771,0.409141,0.399485,0.427911,0.399466,0.419831,CO,0.180797,0,0.051592,0
ADESA,0.222222,CHEVROLET,AUTO,Covers,0.433548,AMERICAN,LARGE,GM,0.183564,0.206187,0.251641,0.267177,0.234238,0.258518,0.283623,0.305136,AZ,0.155932,0,0.147527,0
ADESA,0.555556,NISSAN,AUTO,Covers,0.720232,ASIAN,MEDIUM,OTHER,0.124548,0.152335,0.124545,0.14784,0.133765,0.160594,0.133758,0.157565,TX,0.129851,0,0.037095,0
MANHEIM,0.444444,CHEVROLET,AUTO,Covers,0.663925,AMERICAN,LARGE,GM,0.162265,0.184361,0.217249,0.243395,0.167935,0.191723,0.228543,0.249675,SC,0.163226,0,0.214895,0
MANHEIM,0.333333,CHEVROLET,AUTO,Covers,0.604173,AMERICAN,LARGE,GM,0.191888,0.214823,0.24893,0.267353,0.202614,0.230111,0.270475,0.289372,NC,0.174056,0,0.214895,0
OTHER,0.777778,FORD,AUTO,Covers,0.596373,AMERICAN,LARGE,FORD,0.105259,0.149233,0.174777,0.211125,0.098888,0.13315,0.163092,0.190941,SC,0.138692,0,0.057845,0
MANHEIM,0.444444,CHEVROLET,AUTO,NULL,0.670707,AMERICAN,SMALL,GM,0.092457,0.113043,0.092439,0.109719,0.104093,0.125973,0.158194,0.180449,SC,0.094046,0,0.048465,0
MANHEIM,0.333333,DODGE,AUTO,Alloy,0.451006,AMERICAN,SPECIAL,CHRYSLER,0.194672,0.219713,0.194658,0.213235,0.195401,0.230579,0.254944,0.293594,AZ,0.203673,0,0.088687,0
MANHEIM,0.333333,CHEVROLET,AUTO,Alloy,0.804666,AMERICAN,MEDIUM,GM,0.249555,0.297935,0.324252,0.3499,0.220208,0.270177,0.287525,0.32165,FL,0.192843,0,0.166003,0
MANHEIM,0.444444,SCION,AUTO,Covers,0.656603,ASIAN,MEDIUM,OTHER,0.162151,0.191907,0.162153,0.186238,0.174356,0.20484,0.174354,0.200959,NC,0.156374,0,0.015208,0
MANHEIM,0.555556,PONTIAC,AUTO,Alloy,0.738656,AMERICAN,LARGE,GM,0.126356,0.154068,0.191761,0.216524,0.130229,0.164774,0.198895,0.217573,TX,0.151622,0,0.240193,0
MANHEIM,0.222222,DODGE,AUTO,Alloy,0.427777,AMERICAN,MEDIUM,CHRYSLER,0.262587,0.292709,0.332757,0.345028,0.295675,0.32259,0.355648,0.372189,NC,0.210746,0,0.017908,0
MANHEIM,0.333333,CHRYSLER,AUTO,Alloy,0.299246,AMERICAN,MEDIUM,CHRYSLER,0.116798,0.138138,0.116784,0.134078,0.142675,0.157982,0.142663,0.154992,CO,0.146649,0,0.042638,0
ADESA,0.555556,GMC,AUTO,Alloy,0.762363,AMERICAN,MEDIUM,GM,0.21224,0.268871,0.212226,0.260949,0.215088,0.248068,0.215081,0.24338,CO,0.211851,0,0.240193,0
OTHER,0.111111,CHRYSLER,AUTO,Covers,0.345814,AMERICAN,MEDIUM,CHRYSLER,0.237442,0.242126,0.331455,0.320191,0.241733,0.243008,0.319164,0.311532,OK,0.198369,0,0.052871,0
OTHER,0.222222,CHEVROLET,AUTO,Alloy,0.597374,AMERICAN,LARGE,GM,0.209599,0.241763,0.209595,0.234631,0.221113,0.253898,0.221105,0.249101,CA,0.159358,0,0.214895,0
MANHEIM,0.444444,CHEVROLET,AUTO,Alloy,0.774682,AMERICAN,MEDIUM,GM,0.196797,0.236593,0.265063,0.296484,0.21984,0.259068,0.300411,0.350779,NC,0.189528,0,0.166003,0
MANHEIM,0.222222,DODGE,AUTO,Covers,0.497637,AMERICAN,MEDIUM,CHRYSLER,0.199552,0.212615,0.265621,0.265796,0.197154,0.214904,0.26377,0.271735,CO,0.152838,1,0.051592,0
MANHEIM,0.222222,CHRYSLER,AUTO,Covers,0.356193,AMERICAN,MEDIUM,CHRYSLER,0.155807,0.17581,0.155801,0.170618,0.168105,0.189,0.168094,0.18542,NC,0.130625,0,0.072911,0
MANHEIM,0.444444,CHRYSLER,AUTO,Alloy,0.618854,AMERICAN,MEDIUM,CHRYSLER,0.182301,0.210435,0.182299,0.204219,0.185953,0.212787,0.18593,0.208779,FL,0.145323,0,0.14838,0
MANHEIM,0.777778,NISSAN,AUTO,Alloy,0.757079,ASIAN,MEDIUM,OTHER,0.156553,0.173378,0.204066,0.207007,0.161627,0.190595,0.223121,0.253997,TX,0.160795,0,0.061399,0
MANHEIM,0.444444,CHEVROLET,AUTO,Covers,0.536964,AMERICAN,MEDIUM,GM,0.114788,0.145656,0.114791,0.141361,0.129494,0.163701,0.129488,0.160613,TN,0.139024,0,0.06552,0
ADESA,0.444444,FORD,AUTO,Covers,0.384311,AMERICAN,MEDIUM,FORD,0.080487,0.103597,0.080478,0.100552,0.093882,0.117943,0.093869,0.115719,TX,0.098687,0,0.032831,0
MANHEIM,0.222222,SUZUKI,AUTO,Covers,0.4619,ASIAN,MEDIUM,OTHER,0.136317,0.15376,0.136319,0.149221,0.131927,0.150144,0.195647,0.215549,TX,0.110512,0,0.006111,0
MANHEIM,0.555556,CHEVROLET,AUTO,Covers,0.754419,AMERICAN,LARGE,GM,0.088381,0.119666,0.145302,0.176369,0.114983,0.142527,0.16723,0.195563,NM,0.109738,0,0.240193,0
OTHER,0.333333,HYUNDAI,AUTO,Alloy,0.401868,ASIAN,MEDIUM,OTHER,0.177823,0.204902,0.177807,0.19887,0.1898,0.217627,0.18978,0.213526,CA,0.149854,0,0.022882,0
MANHEIM,0.555556,TOYOTA,AUTO,Covers,0.682249,ASIAN,MEDIUM,OTHER,0.18586,0.201464,0.239681,0.265168,0.194354,0.20902,0.258925,0.283552,SC,0.169857,0,0.018761,0
MANHEIM,0.333333,CHEVROLET,AUTO,Covers,0.820429,AMERICAN,LARGE,GM,0.187439,0.212503,0.241701,0.265018,0.228297,0.25706,0.280716,0.302788,TX,0.168199,0,0.268476,0
ADESA,0.333333,PONTIAC,AUTO,Alloy,0.658497,AMERICAN,MEDIUM,GM,0.234485,0.260403,0.29996,0.31115,0.238028,0.273202,0.295828,0.322674,AZ,0.181018,0,0.115122,0
MANHEIM,0.444444,DODGE,AUTO,Alloy,0.792375,AMERICAN,MEDIUM,CHRYSLER,0.089328,0.114328,0.154658,0.170844,0.112466,0.143737,0.175087,0.218772,GA,0.106091,0,0.124929,0
MANHEIM,0.444444,SATURN,AUTO,Alloy,0.566046,AMERICAN,MEDIUM,GM,0.192405,0.235447,0.192399,0.228503,0.204169,0.247683,0.204159,0.243005,NV,0.161237,0,0.107021,0
OTHER,0.111111,CHRYSLER,AUTO,Covers,0.364832,AMERICAN,MEDIUM,CHRYSLER,0.167891,0.171003,0.167894,0.165972,0.187565,0.191503,0.187554,0.187893,OK,0.136482,0,0.072911,0
ADESA,0.222222,DODGE,AUTO,Covers,0.664692,AMERICAN,SPECIAL,CHRYSLER,0.263735,0.305564,0.329728,0.354144,0.242158,0.277987,0.320762,0.345258,FL,0.189528,0,0.165009,0
OTHER,0.444444,CHEVROLET,AUTO,Covers,0.613047,AMERICAN,MEDIUM,GM,0.18055,0.203337,0.237794,0.250502,0.152943,0.180916,0.216967,0.237908,CA,0.136482,0,0.081865,0
OTHER,0.111111,DODGE,AUTO,Covers,0.415422,AMERICAN,MEDIUM,CHRYSLER,0.208795,0.218009,0.208797,0.211577,0.200011,0.209845,0.276394,0.276581,OK,0.165215,0,0.065094,0
MANHEIM,0.333333,CHEVROLET,AUTO,Alloy,0.697535,AMERICAN,SPECIAL,GM,0.138785,0.156024,0.230831,0.233375,0.174271,0.197635,0.253582,0.273159,NC,0.139466,0,0.25867,0
ADESA,0.777778,BUICK,AUTO,Covers,0.469772,AMERICAN,LARGE,GM,0.101498,0.134393,0.101502,0.130437,0.092213,0.113873,0.147534,0.17128,LA,0.131399,0,0.213758,0
MANHEIM,0.222222,CHEVROLET,AUTO,Covers,0.644537,AMERICAN,LARGE,GM,0.21023,0.226784,0.281568,0.297087,0.210307,0.225987,0.276865,0.286849,AZ,0.177151,0,0.214895,0
MANHEIM,0.222222,FORD,AUTO,Alloy,0.824216,AMERICAN,MEDIUM,FORD,0.318933,0.395942,0.386578,0.432446,0.258931,0.313708,0.336686,0.373588,SC,0.175935,0,0.18647,0
MANHEIM,0.777778,MAZDA,AUTO,Alloy,0.486095,ASIAN,SMALL,OTHER,0.076267,0.089316,0.076252,0.08669,0.089724,0.103891,0.089704,0.101929,NC,0.138692,0,0.084139,0
MANHEIM,0.666667,HYUNDAI,AUTO,Covers,0.631795,ASIAN,SMALL,OTHER,0.050146,0.062488,0.099189,0.101909,0.047888,0.06278,0.096907,0.109498,FL,0.086752,0,0.065094,0
ADESA,0.444444,CHEVROLET,AUTO,Covers,0.698725,AMERICAN,LARGE,GM,0.10589,0.136685,0.105887,0.132647,0.109863,0.142032,0.109845,0.139352,TX,0.13162,0,0.240193,0
MANHEIM,0.444444,VOLKSWAGEN,AUTO,Alloy,0.580357,OTHER,SMALL,OTHER,0.206326,0.229886,0.283296,0.293219,0.204565,0.222082,0.289673,0.294644,MO,0.17483,0,0.093235,0
MANHEIM,0.444444,CHEVROLET,AUTO,Covers,0.766917,AMERICAN,MEDIUM,GM,0.106321,0.126373,0.183814,0.20447,0.109779,0.135625,0.170582,0.186694,TX,0.125099,0,0.092524,0
MANHEIM,0.444444,KIA,AUTO,Covers,0.421996,ASIAN,MEDIUM,OTHER,0.076612,0.09566,0.14501,0.169036,0.08565,0.100536,0.171368,0.201284,FL,0.10576,0,0.029704,0
MANHEIM,0.333333,CHRYSLER,AUTO,Covers,0.846914,AMERICAN,SPECIAL,CHRYSLER,0.148315,0.159657,0.230777,0.230864,0.156536,0.174783,0.228019,0.239482,CO,0.126868,0,0.206936,0
MANHEIM,0.777778,NISSAN,AUTO,Alloy,0.71979,ASIAN,MEDIUM,OTHER,0.096963,0.111701,0.156571,0.168734,0.135066,0.157487,0.196852,0.210528,TX,0.098024,0,0.079733,0
MANHEIM,0.666667,CHRYSLER,AUTO,Covers,0.373697,AMERICAN,MEDIUM,CHRYSLER,0.050433,0.0645,0.050419,0.062607,0.057025,0.085054,0.057018,0.083442,VA,0.087857,0,0.095509,0
ADESA,0.555556,NISSAN,AUTO,Alloy,0.651841,ASIAN,MEDIUM,OTHER,0.175498,0.200514,0.233116,0.248292,0.166068,0.20726,0.237291,0.281853,CO,0.161126,0,0.031836,0
MANHEIM,0.444444,SCION,AUTO,Covers,0.450574,ASIAN,MEDIUM,OTHER,0.167116,0.197552,0.225887,0.263611,0.178174,0.210395,0.239412,0.280554,NC,0.185107,0,0.006111,0
MANHEIM,0.444444,DODGE,AUTO,Covers,0.459312,AMERICAN,MEDIUM,CHRYSLER,0.13448,0.153928,0.134485,0.149397,0.148757,0.167084,0.148739,0.163935,IN,0.1188,0,0.088687,0
OTHER,0.666667,DODGE,AUTO,Alloy,0.704244,AMERICAN,MEDIUM,CHRYSLER,0.183363,0.211469,0.263601,0.2777,0.214154,0.233824,0.299495,0.307435,WV,0.222527,0,0.184906,0
OTHER,0.111111,CHEVROLET,AUTO,Covers,0.443431,AMERICAN,MEDIUM,GM,0.192663,0.199927,0.192664,0.194023,0.192091,0.218644,0.276211,0.290272,CA,0.165326,0,0.029704,0
MANHEIM,0.333333,CHEVROLET,AUTO,Alloy,0.573856,AMERICAN,MEDIUM,GM,0.227481,0.263924,0.310086,0.335711,0.254123,0.298336,0.348262,0.404292,AZ,0.187097,0,0.107021,0
MANHEIM,0.333333,PONTIAC,AUTO,Covers,0.430563,AMERICAN,MEDIUM,GM,0.166657,0.183467,0.243827,0.258187,0.213476,0.230056,0.272649,0.280579,NC,0.152617,0,0.053297,0
OTHER,0.111111,CHRYSLER,AUTO,Covers,0.405674,AMERICAN,MEDIUM,CHRYSLER,0.202796,0.20602,0.202791,0.19995,0.214409,0.218727,0.2144,0.2146,OK,0.171846,0,0.052871,0
ADESA,0.444444,KIA,AUTO,Covers,0.405999,ASIAN,SMALL,OTHER,0.069235,0.081268,0.12994,0.131793,0.089526,0.106091,0.149341,0.177226,TN,0.100013,0,0.002843,0
MANHEIM,0.666667,DODGE,AUTO,Alloy,0.841485,AMERICAN,LARGE,CHRYSLER,0.220937,0.268451,0.220917,0.260547,0.270812,0.310216,0.270789,0.304362,NC,0.218261,0,0.27004,0
MANHEIM,0.333333,DODGE,AUTO,Alloy,0.409047,AMERICAN,MEDIUM,CHRYSLER,0.227281,0.243971,0.227269,0.236765,0.231664,0.255163,0.296483,0.309908,TX,0.210525,0,0.07689,0
OTHER,0.333333,JEEP,AUTO,Alloy,0.722144,AMERICAN,LARGE,CHRYSLER,0.34781,0.390716,0.420545,0.451356,0.323791,0.373271,0.393887,0.41371,AL,0.20721,0,0.203383,0
MANHEIM,0.444444,JEEP,AUTO,Alloy,0.714046,AMERICAN,MEDIUM,CHRYSLER,0.266921,0.303356,0.347189,0.361979,0.270104,0.318548,0.333464,0.376786,FL,0.216161,0,0.221717,0
MANHEIM,0.333333,DODGE,AUTO,Covers,0.465543,AMERICAN,SPECIAL,CHRYSLER,0.226793,0.250566,0.307429,0.314088,0.238056,0.26256,0.317514,0.328145,CO,0.204779,0,0.088687,0
ADESA,0.222222,CHRYSLER,AUTO,Covers,0.435595,AMERICAN,MEDIUM,CHRYSLER,0.180808,0.185479,0.233914,0.230311,0.184397,0.19978,0.243027,0.2493,CA,0.15538,0,0.088687,0
MANHEIM,0.222222,DODGE,AUTO,Special,0.609178,AMERICAN,MEDIUM,CHRYSLER,0.308169,0.356734,0.367362,0.389854,0.350041,0.38823,0.410597,0.439917,FL,0.197374,0,0.115122,0
MANHEIM,0.333333,PONTIAC,AUTO,Covers,0.638748,AMERICAN,LARGE,GM,0.172455,0.20574,0.172439,0.199674,0.184511,0.218452,0.18449,0.214325,TX,0.139245,0,0.214895,0
ADESA,0.555556,GMC,AUTO,Alloy,0.693603,AMERICAN,MEDIUM,GM,0.185659,0.219881,0.185648,0.21341,0.190451,0.211687,0.190435,0.20768,AZ,0.188754,0,0.111001,0
OTHER,0.444444,FORD,AUTO,Covers,0.576245,AMERICAN,MEDIUM,FORD,0.088409,0.108599,0.088399,0.105399,0.142449,0.161529,0.142427,0.158464,CO,0.115595,0,0.051592,0
MANHEIM,1,CHRYSLER,AUTO,Alloy,0.605517,AMERICAN,MEDIUM,CHRYSLER,0.04498,0.066372,0.089887,0.112431,0.0581,0.075485,0.118672,0.130459,NC,0.092277,1,0.174389,0
OTHER,0.555556,SATURN,AUTO,Alloy,0.658533,AMERICAN,MEDIUM,GM,0.168523,0.195428,0.237023,0.265821,0.171188,0.189303,0.242948,0.253198,CA,0.176377,0,0.131751,0
MANHEIM,0.333333,JEEP,AUTO,Alloy,0.688372,AMERICAN,MEDIUM,CHRYSLER,0.350049,0.387139,0.406246,0.410648,0.366419,0.394968,0.419109,0.43547,NC,0.20721,0,0.221717,0
MANHEIM,0.555556,CHEVROLET,AUTO,Alloy,0.703477,AMERICAN,MEDIUM,GM,0.148372,0.177403,0.148359,0.172175,0.158063,0.185756,0.232105,0.251374,FL,0.16632,0,0.111001,0
MANHEIM,0.333333,KIA,AUTO,Alloy,0.489684,ASIAN,MEDIUM,OTHER,0.188817,0.212671,0.188811,0.206404,0.184511,0.20902,0.18449,0.205081,MD,0.153391,0,0.123934,0
MANHEIM,0.555556,HYUNDAI,AUTO,Covers,0.493787,ASIAN,MEDIUM,OTHER,0.099001,0.120644,0.149688,0.15992,0.092694,0.118081,0.152249,0.174653,FL,0.106644,0,0.006111,0
OTHER,0.444444,NISSAN,AUTO,Covers,0.756944,ASIAN,MEDIUM,OTHER,0.19783,0.234245,0.28598,0.305902,0.232427,0.270975,0.289987,0.320775,TX,0.160021,0,0.037095,0
OTHER,0.333333,SUZUKI,AUTO,Covers,0.385357,ASIAN,MEDIUM,OTHER,0.0802,0.113573,0.147375,0.187217,0.114106,0.136945,0.182263,0.194664,SC,0.1188,0,0.002843,0
MANHEIM,0.555556,DODGE,AUTO,Covers,0.656756,AMERICAN,SPECIAL,CHRYSLER,0.10213,0.130425,0.166645,0.179232,0.085368,0.111976,0.139991,0.152943,FL,0.106312,0,0.165009,0
MANHEIM,0.333333,DODGE,AUTO,Covers,0.329131,AMERICAN,MEDIUM,CHRYSLER,0.131695,0.149149,0.131694,0.144751,0.152293,0.164939,0.152275,0.161812,TX,0.1188,0,0.072911,0
MANHEIM,0.555556,CHEVROLET,AUTO,Covers,0.585642,AMERICAN,LARGE,GM,0.08307,0.108403,0.083056,0.105198,0.10118,0.12732,0.101176,0.124913,TX,0.126205,0,0.176379,0
MANHEIM,0.777778,FORD,AUTO,Alloy,0.725841,AMERICAN,MEDIUM,FORD,0.041621,0.05919,0.041621,0.057459,0.064634,0.082112,0.064613,0.080544,NC,0.079016,0,0.116686,0
ADESA,0.555556,CHEVROLET,AUTO,Special,0.297803,AMERICAN,LARGE,GM,0.112664,0.155744,0.112664,0.151155,0.121546,0.153994,0.121526,0.151094,AZ,0.180576,0,0.051165,0
MANHEIM,0.444444,VOLKSWAGEN,AUTO,Alloy,0.505862,OTHER,SMALL,OTHER,0.187353,0.198279,0.275163,0.271673,0.188753,0.203767,0.263639,0.281628,IL,0.160242,0,0.093235,0
MANHEIM,0.333333,CHEVROLET,AUTO,Covers,0.47117,AMERICAN,SMALL,GM,0.133331,0.152614,0.213103,0.217303,0.146579,0.169311,0.214924,0.228415,NJ,0.134272,0,0.029704,0
ADESA,0.444444,CHEVROLET,AUTO,Covers,0.56197,AMERICAN,SMALL,GM,0.062374,0.084509,0.062379,0.082019,0.079484,0.101334,0.079464,0.099405,TX,0.087525,0,0.079306,0
MANHEIM,0.555556,CHRYSLER,AUTO,Alloy,0.541392,AMERICAN,MEDIUM,CHRYSLER,0.126701,0.134952,0.126698,0.130964,0.134642,0.156827,0.134622,0.153867,NC,0.123221,0,0.093235,0
MANHEIM,0.555556,DODGE,AUTO,Covers,0.67361,AMERICAN,SPECIAL,CHRYSLER,0.084792,0.110974,0.084784,0.10771,0.080955,0.102736,0.155077,0.193589,FL,0.132062,0,0.165009,0
MANHEIM,0.666667,CHEVROLET,AUTO,Covers,0.55775,AMERICAN,MEDIUM,GM,0.042597,0.063047,0.042578,0.0612,0.056544,0.078042,0.05652,0.076571,CO,0.086531,0,0.246731,0
MANHEIM,0.333333,MITSUBISHI,AUTO,Alloy,0.603389,ASIAN,MEDIUM,OTHER,0.231414,0.253444,0.231415,0.245982,0.222923,0.240726,0.222912,0.236185,SC,0.164552,0,0.065094,0
OTHER,0.333333,CHRYSLER,AUTO,Alloy,0.627502,AMERICAN,MEDIUM,CHRYSLER,0.211005,0.245591,0.211003,0.238348,0.222499,0.257665,0.222493,0.252798,CA,0.135046,0,0.131751,0
OTHER,0.666667,GMC,AUTO,Alloy,0.732325,AMERICAN,LARGE,GM,0.150508,0.175944,0.187108,0.205588,0.162267,0.188774,0.205308,0.226531,CA,0.180797,0,0.153638,0
MANHEIM,0.111111,CHRYSLER,AUTO,Covers,0.443738,AMERICAN,MEDIUM,CHRYSLER,0.202796,0.20602,0.202791,0.19995,0.214409,0.218727,0.2144,0.2146,FL,0.160795,0,0.065094,0
OTHER,0.555556,CHEVROLET,AUTO,Alloy,0.794701,AMERICAN,MEDIUM,GM,0.117601,0.144594,0.19208,0.213209,0.138234,0.169284,0.202378,0.237359,NC,0.11438,0,0.145395,0
OTHER,0.555556,CHRYSLER,AUTO,Alloy,0.492443,AMERICAN,MEDIUM,CHRYSLER,0.087778,0.108459,0.155827,0.173656,0.109977,0.131583,0.184202,0.196063,SC,0.11438,0,0.088687,0
OTHER,0.777778,CHEVROLET,AUTO,Covers,0.308616,AMERICAN,SPECIAL,GM,0.121477,0.141967,0.191628,0.200804,0.112296,0.138815,0.17493,0.189892,CA,0.1188,0,0.337408,0
ADESA,0.555556,SUZUKI,AUTO,Covers,0.484453,ASIAN,MEDIUM,OTHER,0.05959,0.076321,0.059588,0.074083,0.08664,0.102131,0.08664,0.100205,FL,0.087857,0,0.006111,0
